0.5 0.5 67
0.5 1.0 73
0.5 1.5 76
0.5 2.0 82
0.5 2.5 77
0.5 3.0 86
0.5 3.5 91
0.5 4.0 93

1.0 0.5 288
1.0 1.0 298
1.0 1.5 317
1.0 2.0 325
1.0 2.5 347
1.0 3.0 363
1.0 3.5 377
1.0 4.0 398

1.5 0.5 1200
1.5 1.0 1244
1.5 1.5 1283
1.5 2.0 1309
1.5 2.5 1346
1.5 3.0 1421
1.5 3.5 1421
1.5 4.0 1549

2.0 0.5 2106
2.0 1.0 2142
2.0 1.5 2215
2.0 2.0 2320
2.0 2.5 2381
2.0 3.0 2408
2.0 3.5 2541
2.0 4.0 2633

2.5 0.5 2229
2.5 1.0 2375
2.5 1.5 2458
2.5 2.0 2521
2.5 2.5 2610
2.5 3.0 2724
2.5 3.5 2798
2.5 4.0 2884

3.0 0.5 2112
3.0 1.0 2431
3.0 1.5 2427
3.0 2.0 2437
3.0 2.5 2426
3.0 3.0 2785
3.0 3.5 2762
3.0 4.0 2751

3.5 0.5 2021
3.5 1.0 2395
3.5 1.5 2173
3.5 2.0 2495
3.5 2.5 2561
3.5 3.0 2594
3.5 3.5 2840
3.5 4.0 2834

